review_id,product_id,date,rating,sentiment,platform,comment,sentiment_original,is_template,comment_category,brand,type,base_price,launch_date,product_age_days,review_year,review_month,review_day_of_week,price_tier,platform_avg_rating,total_marketing_spend,avg_engagement_rate,num_campaigns,channel_diversity,primary_channel,avg_rating,positive_ratio
R100000,PC014,2024-10-16,4.6,Positive,Instagram,"Packaging bocor saat diterima, kurang aman.",Positive,True,packaging_issue,Dove,Body Wash,38000,2024-06-01,137,2024,10,2,high,2.959691358024691,0.0,,0.0,0.0,,3.135,0.251
R100001,PC012,2023-06-27,2.8,Neutral,Instagram,"Mudah dibeli saat promo, value for money.",Negative,True,value_positive,Vaseline,Lotion,30000,2021-08-05,691,2023,6,1,medium,2.959691358024691,903018958.0,0.086,1.0,1.0,Instagram,2.963,0.224
R100002,PC003,2022-10-21,3.2,Neutral,Shopee,"Mudah dibeli saat promo, value for money.",Neutral,True,value_positive,Lifebuoy,Body Wash,28000,2020-03-20,945,2022,10,4,medium,3.015873015873016,340924224.0,0.091,1.0,1.0,Billboard,2.961,0.24
R100003,PC010,2025-03-07,2.0,Negative,Tokopedia,"Mudah dibeli saat promo, value for money.",Negative,True,value_positive,Love Beauty & Planet,Shampoo,42000,2023-03-18,720,2025,3,4,high,2.9518496058217103,1049223410.0,0.219,1.0,1.0,Instagram,2.883,0.219
R100004,PC015,2022-03-03,1.5,Negative,Shopee,Memberikan hasil sesuai klaim after 2 weeks.,Negative,True,effectiveness,Lifebuoy,Sanitizer,18000,2020-12-01,457,2022,3,3,low,3.015873015873016,1440970483.0,0.573,2.0,2.0,Influencer,3.017,0.269
R100009,PC012,2024-06-24,2.0,Negative,Tokopedia,Wangi terlalu kuat untuk saya.,Negative,True,scent_complaint,Vaseline,Lotion,30000,2021-08-05,1054,2024,6,0,medium,2.9518496058217103,903018958.0,0.086,1.0,1.0,Instagram,2.963,0.224
R100010,PC014,2025-01-13,3.8,Neutral,Shopee,"Harumnya tahan lama, suka banget!",Neutral,True,scent_positive,Dove,Body Wash,38000,2024-06-01,226,2025,1,0,high,3.015873015873016,0.0,,0.0,0.0,,3.135,0.251
R100011,PC010,2025-07-06,2.8,Neutral,Official Store,"Mudah dibeli saat promo, value for money.",Negative,True,value_positive,Love Beauty & Planet,Shampoo,42000,2023-03-18,841,2025,7,6,high,3.027048192771084,1049223410.0,0.219,1.0,1.0,Instagram,2.883,0.219
R100012,PC006,2024-04-21,3.6,Neutral,Shopee,"Harumnya tahan lama, suka banget!",Neutral,True,scent_positive,Dove,Shampoo,36000,2022-01-25,817,2024,4,6,high,3.015873015873016,0.0,,0.0,0.0,,3.005,0.265
R100013,PC013,2024-06-11,3.2,Neutral,Tokopedia,Wangi terlalu kuat untuk saya.,Neutral,True,scent_complaint,Sunsilk,Shampoo,32000,2024-01-15,148,2024,6,1,medium,2.9518496058217103,0.0,,0.0,0.0,,3.03,0.258
